Resort Name,Date,Price (€),Month-Year,Scraped Date
La Plagne 2100,2025-01-05,2521 ,דצמ׳ 2024,2024-12-25
La Plagne 2100,2025-01-12,2671 ,דצמ׳ 2024,2024-12-25
La Plagne 2100,2025-01-19,3497 ,דצמ׳ 2024,2024-12-25
La Plagne 2100,2025-01-26,3278 ,דצמ׳ 2024,2024-12-25
La Plagne 2100,2025-01-05,2521 ,ינו׳ 2025,2024-12-25
La Plagne 2100,2025-01-12,2671 ,ינו׳ 2025,2024-12-25
La Plagne 2100,2025-01-19,3497 ,ינו׳ 2025,2024-12-25
La Plagne 2100,2025-01-26,3278 ,ינו׳ 2025,2024-12-25
La Plagne 2100,2025-02-02,2863 ,ינו׳ 2025,2024-12-25
La Plagne 2100,2025-02-09,2891 ,ינו׳ 2025,2024-12-25
La Plagne 2100,2025-02-16,4087 ,ינו׳ 2025,2024-12-25
La Plagne 2100,2025-02-23,3252 ,ינו׳ 2025,2024-12-25
La Plagne 2100,2025-02-02,2863 ,פבר׳ 2025,2024-12-25
La Plagne 2100,2025-02-09,2891 ,פבר׳ 2025,2024-12-25
La Plagne 2100,2025-02-16,4087 ,פבר׳ 2025,2024-12-25
La Plagne 2100,2025-02-23,3252 ,פבר׳ 2025,2024-12-25
La Plagne 2100,2025-03-02,3712 ,פבר׳ 2025,2024-12-25
La Plagne 2100,2025-03-09,2917 ,פבר׳ 2025,2024-12-25
La Plagne 2100,2025-03-16,2981 ,פבר׳ 2025,2024-12-25
La Plagne 2100,2025-03-23,2628 ,פבר׳ 2025,2024-12-25
La Plagne 2100,2025-03-30,2308 ,פבר׳ 2025,2024-12-25
La Plagne 2100,2025-03-02,3712 ,מרץ 2025,2024-12-25
La Plagne 2100,2025-03-09,2917 ,מרץ 2025,2024-12-25
La Plagne 2100,2025-03-16,2981 ,מרץ 2025,2024-12-25
La Plagne 2100,2025-03-23,2628 ,מרץ 2025,2024-12-25
La Plagne 2100,2025-03-30,2308 ,מרץ 2025,2024-12-25
La Plagne 2100,2025-04-06,2677 ,מרץ 2025,2024-12-25
La Plagne 2100,2025-04-07,2395 ,מרץ 2025,2024-12-25
La Plagne 2100,2025-04-08,2486 ,מרץ 2025,2024-12-25
La Plagne 2100,2025-04-09,2537 ,מרץ 2025,2024-12-25
La Plagne 2100,2025-04-10,2691 ,מרץ 2025,2024-12-25
La Plagne 2100,2025-04-11,2653 ,מרץ 2025,2024-12-25
La Plagne 2100,2025-04-12,2410 ,מרץ 2025,2024-12-25
La Plagne 2100,2025-04-13,2790 ,מרץ 2025,2024-12-25
La Plagne 2100,2025-04-06,2677 ,אפר׳ 2025,2024-12-25
La Plagne 2100,2025-04-07,2395 ,אפר׳ 2025,2024-12-25
La Plagne 2100,2025-04-08,2486 ,אפר׳ 2025,2024-12-25
La Plagne 2100,2025-04-09,2537 ,אפר׳ 2025,2024-12-25
La Plagne 2100,2025-04-10,2691 ,אפר׳ 2025,2024-12-25
La Plagne 2100,2025-04-11,2653 ,אפר׳ 2025,2024-12-25
La Plagne 2100,2025-04-12,2410 ,אפר׳ 2025,2024-12-25
La Plagne 2100,2025-04-13,2790 ,אפר׳ 2025,2024-12-25
Val Thorens,2025-01-05,4292 ,דצמ׳ 2024,2024-12-25
Val Thorens,2025-01-12,3354 ,דצמ׳ 2024,2024-12-25
Val Thorens,2025-01-19,3122 ,דצמ׳ 2024,2024-12-25
Val Thorens,2025-01-26,4392 ,דצמ׳ 2024,2024-12-25
Val Thorens,2025-01-05,4292 ,ינו׳ 2025,2024-12-25
Val Thorens,2025-01-12,3354 ,ינו׳ 2025,2024-12-25
Val Thorens,2025-01-19,3122 ,ינו׳ 2025,2024-12-25
Val Thorens,2025-01-26,4392 ,ינו׳ 2025,2024-12-25
Val Thorens,2025-02-09,5599 ,ינו׳ 2025,2024-12-25
Val Thorens,2025-02-23,4361 ,ינו׳ 2025,2024-12-25
Val Thorens,2025-02-09,5599 ,פבר׳ 2025,2024-12-25
Val Thorens,2025-02-23,4361 ,פבר׳ 2025,2024-12-25
Val Thorens,2025-03-02,4469 ,פבר׳ 2025,2024-12-25
Val Thorens,2025-03-09,5952 ,פבר׳ 2025,2024-12-25
Val Thorens,2025-03-16,4431 ,פבר׳ 2025,2024-12-25
Val Thorens,2025-03-23,3166 ,פבר׳ 2025,2024-12-25
Val Thorens,2025-03-30,3792 ,פבר׳ 2025,2024-12-25
Val Thorens,2025-03-31,3825 ,פבר׳ 2025,2024-12-25
Val Thorens,2025-03-02,4469 ,מרץ 2025,2024-12-25
Val Thorens,2025-03-09,5952 ,מרץ 2025,2024-12-25
Val Thorens,2025-03-16,4431 ,מרץ 2025,2024-12-25
Val Thorens,2025-03-23,3166 ,מרץ 2025,2024-12-25
Val Thorens,2025-03-30,3792 ,מרץ 2025,2024-12-25
Val Thorens,2025-03-31,3825 ,מרץ 2025,2024-12-25
Val Thorens,2025-04-01,3810 ,מרץ 2025,2024-12-25
Val Thorens,2025-04-02,3793 ,מרץ 2025,2024-12-25
Val Thorens,2025-04-03,3086 ,מרץ 2025,2024-12-25
Val Thorens,2025-04-04,2945 ,מרץ 2025,2024-12-25
Val Thorens,2025-04-05,2917 ,מרץ 2025,2024-12-25
Val Thorens,2025-04-06,3109 ,מרץ 2025,2024-12-25
Val Thorens,2025-04-07,2791 ,מרץ 2025,2024-12-25
Val Thorens,2025-04-08,2877 ,מרץ 2025,2024-12-25
Val Thorens,2025-04-09,2924 ,מרץ 2025,2024-12-25
