Resort Name,Date,Price (€),Month-Year,Scraped Date
La Plagne 2100,2025-01-05,2521 ,דצמ׳ 2024,2024-12-20
La Plagne 2100,2025-01-12,2671 ,דצמ׳ 2024,2024-12-20
La Plagne 2100,2025-01-19,3497 ,דצמ׳ 2024,2024-12-20
La Plagne 2100,2025-01-26,3278 ,דצמ׳ 2024,2024-12-20
La Plagne 2100,2025-01-05,2521 ,ינו׳ 2025,2024-12-20
La Plagne 2100,2025-01-12,2671 ,ינו׳ 2025,2024-12-20
La Plagne 2100,2025-01-19,3497 ,ינו׳ 2025,2024-12-20
La Plagne 2100,2025-01-26,3278 ,ינו׳ 2025,2024-12-20
La Plagne 2100,2025-02-02,2898 ,ינו׳ 2025,2024-12-20
La Plagne 2100,2025-02-09,2891 ,ינו׳ 2025,2024-12-20
La Plagne 2100,2025-02-16,3798 ,ינו׳ 2025,2024-12-20
La Plagne 2100,2025-02-23,3048 ,ינו׳ 2025,2024-12-20
La Plagne 2100,2025-02-02,2898 ,פבר׳ 2025,2024-12-20
La Plagne 2100,2025-02-09,2891 ,פבר׳ 2025,2024-12-20
La Plagne 2100,2025-02-16,3798 ,פבר׳ 2025,2024-12-20
La Plagne 2100,2025-02-23,3048 ,פבר׳ 2025,2024-12-20
La Plagne 2100,2025-03-02,4416 ,פבר׳ 2025,2024-12-20
La Plagne 2100,2025-03-09,2916 ,פבר׳ 2025,2024-12-20
La Plagne 2100,2025-03-16,2981 ,פבר׳ 2025,2024-12-20
La Plagne 2100,2025-03-23,2628 ,פבר׳ 2025,2024-12-20
La Plagne 2100,2025-03-30,2308 ,פבר׳ 2025,2024-12-20
La Plagne 2100,2025-03-02,4416 ,מרץ 2025,2024-12-20
La Plagne 2100,2025-03-09,2916 ,מרץ 2025,2024-12-20
La Plagne 2100,2025-03-16,2981 ,מרץ 2025,2024-12-20
La Plagne 2100,2025-03-23,2628 ,מרץ 2025,2024-12-20
La Plagne 2100,2025-03-30,2308 ,מרץ 2025,2024-12-20
La Plagne 2100,2025-04-06,2677 ,מרץ 2025,2024-12-20
La Plagne 2100,2025-04-07,2377 ,מרץ 2025,2024-12-20
La Plagne 2100,2025-04-08,2354 ,מרץ 2025,2024-12-20
La Plagne 2100,2025-04-09,2488 ,מרץ 2025,2024-12-20
La Plagne 2100,2025-04-10,2656 ,מרץ 2025,2024-12-20
La Plagne 2100,2025-04-11,2651 ,מרץ 2025,2024-12-20
La Plagne 2100,2025-04-12,2407 ,מרץ 2025,2024-12-20
