Resort Name,Date,Price (€),Month-Year,Scraped Date
La Plagne 2100,2024-12-22,3659 ,דצמ׳ 2024,2024-12-18
La Plagne 2100,2024-12-29,4345 ,דצמ׳ 2024,2024-12-18
La Plagne 2100,2025-01-05,2521 ,דצמ׳ 2024,2024-12-18
La Plagne 2100,2025-01-12,2671 ,דצמ׳ 2024,2024-12-18
La Plagne 2100,2025-01-19,3497 ,דצמ׳ 2024,2024-12-18
La Plagne 2100,2025-01-26,3278 ,דצמ׳ 2024,2024-12-18
La Plagne 2100,2025-01-05,2521 ,ינו׳ 2025,2024-12-18
La Plagne 2100,2025-01-12,2671 ,ינו׳ 2025,2024-12-18
La Plagne 2100,2025-01-19,3497 ,ינו׳ 2025,2024-12-18
La Plagne 2100,2025-01-26,3278 ,ינו׳ 2025,2024-12-18
La Plagne 2100,2025-02-02,2535 ,ינו׳ 2025,2024-12-18
La Plagne 2100,2025-02-09,2978 ,ינו׳ 2025,2024-12-18
La Plagne 2100,2025-02-16,3798 ,ינו׳ 2025,2024-12-18
La Plagne 2100,2025-02-23,3088 ,ינו׳ 2025,2024-12-18
La Plagne 2100,2025-02-02,2535 ,פבר׳ 2025,2024-12-18
La Plagne 2100,2025-02-09,2978 ,פבר׳ 2025,2024-12-18
La Plagne 2100,2025-02-16,3798 ,פבר׳ 2025,2024-12-18
La Plagne 2100,2025-02-23,3088 ,פבר׳ 2025,2024-12-18
La Plagne 2100,2025-03-02,3009 ,פבר׳ 2025,2024-12-18
La Plagne 2100,2025-03-09,2916 ,פבר׳ 2025,2024-12-18
La Plagne 2100,2025-03-16,2981 ,פבר׳ 2025,2024-12-18
La Plagne 2100,2025-03-23,2628 ,פבר׳ 2025,2024-12-18
La Plagne 2100,2025-03-30,2308 ,פבר׳ 2025,2024-12-18
La Plagne 2100,2025-03-02,3009 ,מרץ 2025,2024-12-18
La Plagne 2100,2025-03-09,2916 ,מרץ 2025,2024-12-18
La Plagne 2100,2025-03-16,2981 ,מרץ 2025,2024-12-18
La Plagne 2100,2025-03-23,2628 ,מרץ 2025,2024-12-18
La Plagne 2100,2025-03-30,2308 ,מרץ 2025,2024-12-18
La Plagne 2100,2025-04-06,2677 ,מרץ 2025,2024-12-18
La Plagne 2100,2025-04-07,2376 ,מרץ 2025,2024-12-18
La Plagne 2100,2025-04-08,2365 ,מרץ 2025,2024-12-18
La Plagne 2100,2025-04-09,2426 ,מרץ 2025,2024-12-18
La Plagne 2100,2025-04-10,2653 ,מרץ 2025,2024-12-18
La Plagne 2100,2025-04-11,2721 ,מרץ 2025,2024-12-18
La Plagne 2100,2025-04-12,2408 ,מרץ 2025,2024-12-18
La Plagne 2100,2025-04-13,2790 ,מרץ 2025,2024-12-18
La Plagne 2100,2025-04-06,2677 ,אפר׳ 2025,2024-12-18
La Plagne 2100,2025-04-07,2376 ,אפר׳ 2025,2024-12-18
La Plagne 2100,2025-04-08,2365 ,אפר׳ 2025,2024-12-18
La Plagne 2100,2025-04-09,2426 ,אפר׳ 2025,2024-12-18
La Plagne 2100,2025-04-10,2653 ,אפר׳ 2025,2024-12-18
La Plagne 2100,2025-04-11,2721 ,אפר׳ 2025,2024-12-18
La Plagne 2100,2025-04-12,2408 ,אפר׳ 2025,2024-12-18
La Plagne 2100,2025-04-13,2790 ,אפר׳ 2025,2024-12-18
Val Thorens,2024-12-22,4931 ,דצמ׳ 2024,2024-12-18
Val Thorens,2024-12-29,5464 ,דצמ׳ 2024,2024-12-18
Val Thorens,2025-01-05,5972 ,דצמ׳ 2024,2024-12-18
Val Thorens,2025-01-12,3354 ,דצמ׳ 2024,2024-12-18
Val Thorens,2025-01-19,4072 ,דצמ׳ 2024,2024-12-18
Val Thorens,2025-01-26,4392 ,דצמ׳ 2024,2024-12-18
Val Thorens,2025-01-05,5972 ,ינו׳ 2025,2024-12-18
Val Thorens,2025-01-12,3354 ,ינו׳ 2025,2024-12-18
Val Thorens,2025-01-19,4072 ,ינו׳ 2025,2024-12-18
Val Thorens,2025-01-26,4392 ,ינו׳ 2025,2024-12-18
Val Thorens,2025-02-09,5654 ,ינו׳ 2025,2024-12-18
Val Thorens,2025-02-16,5985 ,ינו׳ 2025,2024-12-18
Val Thorens,2025-02-23,4197 ,ינו׳ 2025,2024-12-18
Val Thorens,2025-02-09,5654 ,פבר׳ 2025,2024-12-18
Val Thorens,2025-02-16,5985 ,פבר׳ 2025,2024-12-18
Val Thorens,2025-02-23,4197 ,פבר׳ 2025,2024-12-18
Val Thorens,2025-03-02,5283 ,פבר׳ 2025,2024-12-18
Val Thorens,2025-03-16,4431 ,פבר׳ 2025,2024-12-18
Val Thorens,2025-03-23,3166 ,פבר׳ 2025,2024-12-18
Val Thorens,2025-03-30,3792 ,פבר׳ 2025,2024-12-18
Val Thorens,2025-03-31,3826 ,פבר׳ 2025,2024-12-18
Val Thorens,2025-03-02,5283 ,מרץ 2025,2024-12-18
Val Thorens,2025-03-16,4431 ,מרץ 2025,2024-12-18
Val Thorens,2025-03-23,3166 ,מרץ 2025,2024-12-18
Val Thorens,2025-03-30,3792 ,מרץ 2025,2024-12-18
Val Thorens,2025-03-31,3826 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-01,3736 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-02,3752 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-03,2933 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-04,2846 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-05,2916 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-06,2999 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-07,2664 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-08,2649 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-09,2708 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-10,2932 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-11,2998 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-12,2682 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-13,3094 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-14,2515 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-15,2444 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-16,2403 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-17,2494 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-18,2353 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-19,2312 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-20,2271 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-21,2450 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-22,2213 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-23,2050 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-24,2068 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-25,2041 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-26,1978 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-27,2014 ,מרץ 2025,2024-12-18
Val Thorens,2025-04-01,3736 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-02,3752 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-03,2933 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-04,2846 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-05,2916 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-06,2999 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-07,2664 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-08,2649 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-09,2708 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-10,2932 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-11,2998 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-12,2682 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-13,3094 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-14,2515 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-15,2444 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-16,2403 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-17,2494 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-18,2353 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-19,2312 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-20,2271 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-21,2450 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-22,2213 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-23,2050 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-24,2068 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-25,2041 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-26,1978 ,אפר׳ 2025,2024-12-18
Val Thorens,2025-04-27,2014 ,אפר׳ 2025,2024-12-18
Les Arcs Panorama,2024-12-22,4934 ,דצמ׳ 2024,2024-12-18
Les Arcs Panorama,2024-12-29,5264 ,דצמ׳ 2024,2024-12-18
Les Arcs Panorama,2025-01-05,3374 ,דצמ׳ 2024,2024-12-18
Les Arcs Panorama,2025-01-12,3224 ,דצמ׳ 2024,2024-12-18
Les Arcs Panorama,2025-01-19,4346 ,דצמ׳ 2024,2024-12-18
Les Arcs Panorama,2025-01-26,4719 ,דצמ׳ 2024,2024-12-18
Les Arcs Panorama,2025-01-05,3374 ,ינו׳ 2025,2024-12-18
Les Arcs Panorama,2025-01-12,3224 ,ינו׳ 2025,2024-12-18
Les Arcs Panorama,2025-01-19,4346 ,ינו׳ 2025,2024-12-18
Les Arcs Panorama,2025-01-26,4719 ,ינו׳ 2025,2024-12-18
Les Arcs Panorama,2025-02-02,3388 ,ינו׳ 2025,2024-12-18
Les Arcs Panorama,2025-02-09,3560 ,ינו׳ 2025,2024-12-18
Les Arcs Panorama,2025-02-23,4022 ,ינו׳ 2025,2024-12-18
Les Arcs Panorama,2025-02-02,3388 ,פבר׳ 2025,2024-12-18
Les Arcs Panorama,2025-02-09,3560 ,פבר׳ 2025,2024-12-18
Les Arcs Panorama,2025-02-23,4022 ,פבר׳ 2025,2024-12-18
Les Arcs Panorama,2025-03-02,3938 ,פבר׳ 2025,2024-12-18
Les Arcs Panorama,2025-03-09,3715 ,פבר׳ 2025,2024-12-18
Les Arcs Panorama,2025-03-16,3973 ,פבר׳ 2025,2024-12-18
Les Arcs Panorama,2025-03-23,3067 ,פבר׳ 2025,2024-12-18
Les Arcs Panorama,2025-03-24,3186 ,פבר׳ 2025,2024-12-18
Les Arcs Panorama,2025-03-25,3096 ,פבר׳ 2025,2024-12-18
Les Arcs Panorama,2025-03-26,3094 ,פבר׳ 2025,2024-12-18
Les Arcs Panorama,2025-03-27,3161 ,פבר׳ 2025,2024-12-18
Les Arcs Panorama,2025-03-28,3082 ,פבר׳ 2025,2024-12-18
Les Arcs Panorama,2025-03-29,3048 ,פבר׳ 2025,2024-12-18
Les Arcs Panorama,2025-03-30,2985 ,פבר׳ 2025,2024-12-18
Les Arcs Panorama,2025-03-31,3102 ,פבר׳ 2025,2024-12-18
Les Arcs Panorama,2025-03-02,3938 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-03-09,3715 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-03-16,3973 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-03-23,3067 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-03-24,3186 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-03-25,3096 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-03-26,3094 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-03-27,3161 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-03-28,3082 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-03-29,3048 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-03-30,2985 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-03-31,3102 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-04-01,2799 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-04-02,2849 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-04-03,2868 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-04-04,2803 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-04-05,2894 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-04-06,3058 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-04-07,3000 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-04-08,2973 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-04-09,3020 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-04-10,3232 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-04-11,3286 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-04-12,2958 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-04-13,3308 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-04-14,2784 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-04-15,2622 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-04-16,2588 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-04-17,2685 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-04-18,2550 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-04-19,2333 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-04-20,2304 ,מרץ 2025,2024-12-18
Les Arcs Panorama,2025-04-01,2799 ,אפר׳ 2025,2024-12-18
Les Arcs Panorama,2025-04-02,2849 ,אפר׳ 2025,2024-12-18
Les Arcs Panorama,2025-04-03,2868 ,אפר׳ 2025,2024-12-18
Les Arcs Panorama,2025-04-04,2803 ,אפר׳ 2025,2024-12-18
Les Arcs Panorama,2025-04-05,2894 ,אפר׳ 2025,2024-12-18
Les Arcs Panorama,2025-04-06,3058 ,אפר׳ 2025,2024-12-18
Les Arcs Panorama,2025-04-07,3000 ,אפר׳ 2025,2024-12-18
Les Arcs Panorama,2025-04-08,2973 ,אפר׳ 2025,2024-12-18
Les Arcs Panorama,2025-04-09,3020 ,אפר׳ 2025,2024-12-18
Les Arcs Panorama,2025-04-10,3232 ,אפר׳ 2025,2024-12-18
Les Arcs Panorama,2025-04-11,3286 ,אפר׳ 2025,2024-12-18
Les Arcs Panorama,2025-04-12,2958 ,אפר׳ 2025,2024-12-18
Les Arcs Panorama,2025-04-13,3308 ,אפר׳ 2025,2024-12-18
Les Arcs Panorama,2025-04-14,2784 ,אפר׳ 2025,2024-12-18
Les Arcs Panorama,2025-04-15,2622 ,אפר׳ 2025,2024-12-18
Les Arcs Panorama,2025-04-16,2588 ,אפר׳ 2025,2024-12-18
Les Arcs Panorama,2025-04-17,2685 ,אפר׳ 2025,2024-12-18
Les Arcs Panorama,2025-04-18,2550 ,אפר׳ 2025,2024-12-18
Les Arcs Panorama,2025-04-19,2333 ,אפר׳ 2025,2024-12-18
Les Arcs Panorama,2025-04-20,2304 ,אפר׳ 2025,2024-12-18
Tignes,2024-12-29,5280 ,דצמ׳ 2024,2024-12-18
Tignes,2025-01-05,4294 ,דצמ׳ 2024,2024-12-18
Tignes,2025-01-12,3384 ,דצמ׳ 2024,2024-12-18
Tignes,2025-01-19,4173 ,דצמ׳ 2024,2024-12-18
Tignes,2025-01-26,3867 ,דצמ׳ 2024,2024-12-18
Tignes,2025-01-05,4294 ,ינו׳ 2025,2024-12-18
Tignes,2025-01-12,3384 ,ינו׳ 2025,2024-12-18
Tignes,2025-01-19,4173 ,ינו׳ 2025,2024-12-18
Tignes,2025-01-26,3867 ,ינו׳ 2025,2024-12-18
Tignes,2025-02-02,3700 ,ינו׳ 2025,2024-12-18
Tignes,2025-02-09,3714 ,ינו׳ 2025,2024-12-18
Tignes,2025-02-23,4188 ,ינו׳ 2025,2024-12-18
Tignes,2025-02-02,3700 ,פבר׳ 2025,2024-12-18
Tignes,2025-02-09,3714 ,פבר׳ 2025,2024-12-18
Tignes,2025-02-23,4188 ,פבר׳ 2025,2024-12-18
Tignes,2025-03-02,4054 ,פבר׳ 2025,2024-12-18
Tignes,2025-03-09,4399 ,פבר׳ 2025,2024-12-18
Tignes,2025-03-16,3892 ,פבר׳ 2025,2024-12-18
Tignes,2025-03-23,3523 ,פבר׳ 2025,2024-12-18
Tignes,2025-03-30,3176 ,פבר׳ 2025,2024-12-18
Tignes,2025-03-02,4054 ,מרץ 2025,2024-12-18
Tignes,2025-03-09,4399 ,מרץ 2025,2024-12-18
Tignes,2025-03-16,3892 ,מרץ 2025,2024-12-18
Tignes,2025-03-23,3523 ,מרץ 2025,2024-12-18
Tignes,2025-03-30,3176 ,מרץ 2025,2024-12-18
Tignes,2025-04-06,3450 ,מרץ 2025,2024-12-18
Tignes,2025-04-13,3990 ,מרץ 2025,2024-12-18
Tignes,2025-04-20,2390 ,מרץ 2025,2024-12-18
Tignes,2025-04-21,2586 ,מרץ 2025,2024-12-18
Tignes,2025-04-22,2367 ,מרץ 2025,2024-12-18
Tignes,2025-04-23,2301 ,מרץ 2025,2024-12-18
Tignes,2025-04-24,2334 ,מרץ 2025,2024-12-18
Tignes,2025-04-25,2323 ,מרץ 2025,2024-12-18
Tignes,2025-04-26,2276 ,מרץ 2025,2024-12-18
Tignes,2025-04-27,2327 ,מרץ 2025,2024-12-18
Tignes,2025-04-06,3450 ,אפר׳ 2025,2024-12-18
Tignes,2025-04-13,3990 ,אפר׳ 2025,2024-12-18
Tignes,2025-04-20,2390 ,אפר׳ 2025,2024-12-18
Tignes,2025-04-21,2586 ,אפר׳ 2025,2024-12-18
Tignes,2025-04-22,2367 ,אפר׳ 2025,2024-12-18
