Resort Name,Date,Price (€),Month-Year,Scraped Date
La Plagne 2100,2025-01-05,2521 ,דצמ׳ 2024,2024-12-26
La Plagne 2100,2025-01-12,2671 ,דצמ׳ 2024,2024-12-26
La Plagne 2100,2025-01-19,3497 ,דצמ׳ 2024,2024-12-26
La Plagne 2100,2025-01-26,3278 ,דצמ׳ 2024,2024-12-26
La Plagne 2100,2025-01-05,2521 ,ינו׳ 2025,2024-12-26
La Plagne 2100,2025-01-12,2671 ,ינו׳ 2025,2024-12-26
La Plagne 2100,2025-01-19,3497 ,ינו׳ 2025,2024-12-26
La Plagne 2100,2025-01-26,3278 ,ינו׳ 2025,2024-12-26
La Plagne 2100,2025-02-02,2820 ,ינו׳ 2025,2024-12-26
La Plagne 2100,2025-02-09,2891 ,ינו׳ 2025,2024-12-26
La Plagne 2100,2025-02-16,4004 ,ינו׳ 2025,2024-12-26
La Plagne 2100,2025-02-23,3294 ,ינו׳ 2025,2024-12-26
La Plagne 2100,2025-02-02,2820 ,פבר׳ 2025,2024-12-26
La Plagne 2100,2025-02-09,2891 ,פבר׳ 2025,2024-12-26
La Plagne 2100,2025-02-16,4004 ,פבר׳ 2025,2024-12-26
La Plagne 2100,2025-02-23,3294 ,פבר׳ 2025,2024-12-26
La Plagne 2100,2025-03-02,3712 ,פבר׳ 2025,2024-12-26
La Plagne 2100,2025-03-09,2916 ,פבר׳ 2025,2024-12-26
La Plagne 2100,2025-03-16,2981 ,פבר׳ 2025,2024-12-26
La Plagne 2100,2025-03-23,2628 ,פבר׳ 2025,2024-12-26
La Plagne 2100,2025-03-30,2308 ,פבר׳ 2025,2024-12-26
La Plagne 2100,2025-03-02,3712 ,מרץ 2025,2024-12-26
La Plagne 2100,2025-03-09,2916 ,מרץ 2025,2024-12-26
La Plagne 2100,2025-03-16,2981 ,מרץ 2025,2024-12-26
La Plagne 2100,2025-03-23,2628 ,מרץ 2025,2024-12-26
La Plagne 2100,2025-03-30,2308 ,מרץ 2025,2024-12-26
La Plagne 2100,2025-04-06,2677 ,מרץ 2025,2024-12-26
La Plagne 2100,2025-04-07,2442 ,מרץ 2025,2024-12-26
La Plagne 2100,2025-04-08,2517 ,מרץ 2025,2024-12-26
La Plagne 2100,2025-04-09,2568 ,מרץ 2025,2024-12-26
La Plagne 2100,2025-04-10,2695 ,מרץ 2025,2024-12-26
La Plagne 2100,2025-04-11,2775 ,מרץ 2025,2024-12-26
La Plagne 2100,2025-04-12,2491 ,מרץ 2025,2024-12-26
La Plagne 2100,2025-04-13,2790 ,מרץ 2025,2024-12-26
La Plagne 2100,2025-04-06,2677 ,אפר׳ 2025,2024-12-26
La Plagne 2100,2025-04-07,2442 ,אפר׳ 2025,2024-12-26
La Plagne 2100,2025-04-08,2517 ,אפר׳ 2025,2024-12-26
La Plagne 2100,2025-04-09,2568 ,אפר׳ 2025,2024-12-26
La Plagne 2100,2025-04-10,2695 ,אפר׳ 2025,2024-12-26
La Plagne 2100,2025-04-11,2775 ,אפר׳ 2025,2024-12-26
La Plagne 2100,2025-04-12,2491 ,אפר׳ 2025,2024-12-26
La Plagne 2100,2025-04-13,2790 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-01-05,4292 ,ינו׳ 2025,2024-12-26
Val Thorens,2025-01-12,3354 ,ינו׳ 2025,2024-12-26
Val Thorens,2025-01-19,3122 ,ינו׳ 2025,2024-12-26
Val Thorens,2025-01-26,4392 ,ינו׳ 2025,2024-12-26
Val Thorens,2025-02-09,5599 ,ינו׳ 2025,2024-12-26
Val Thorens,2025-02-23,4403 ,ינו׳ 2025,2024-12-26
Val Thorens,2025-02-09,5599 ,פבר׳ 2025,2024-12-26
Val Thorens,2025-02-23,4403 ,פבר׳ 2025,2024-12-26
Val Thorens,2025-03-02,4469 ,פבר׳ 2025,2024-12-26
Val Thorens,2025-03-09,5951 ,פבר׳ 2025,2024-12-26
Val Thorens,2025-03-16,4431 ,פבר׳ 2025,2024-12-26
Val Thorens,2025-03-23,3044 ,פבר׳ 2025,2024-12-26
Val Thorens,2025-03-30,3792 ,פבר׳ 2025,2024-12-26
Val Thorens,2025-03-31,3869 ,פבר׳ 2025,2024-12-26
Val Thorens,2025-03-02,4469 ,מרץ 2025,2024-12-26
Val Thorens,2025-03-09,5951 ,מרץ 2025,2024-12-26
Val Thorens,2025-03-16,4431 ,מרץ 2025,2024-12-26
Val Thorens,2025-03-23,3044 ,מרץ 2025,2024-12-26
Val Thorens,2025-03-30,3792 ,מרץ 2025,2024-12-26
Val Thorens,2025-03-31,3869 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-01,3812 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-02,3813 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-03,3099 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-04,2964 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-05,2899 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-06,2999 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-07,2838 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-08,2908 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-09,2955 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-10,3078 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-11,4486 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-12,4178 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-13,4486 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-14,3909 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-15,2419 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-16,2335 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-17,2463 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-18,2977 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-19,2316 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-20,2228 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-21,2421 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-22,2245 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-23,2098 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-24,2081 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-25,2072 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-26,2026 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-27,2051 ,מרץ 2025,2024-12-26
Val Thorens,2025-04-01,3812 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-02,3813 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-03,3099 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-04,2964 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-05,2899 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-06,2999 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-07,2838 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-08,2908 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-09,2955 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-10,3078 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-11,4486 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-12,4178 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-13,4486 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-14,3909 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-15,2419 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-16,2335 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-17,2463 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-18,2977 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-19,2316 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-20,2228 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-21,2421 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-22,2245 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-23,2098 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-24,2081 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-25,2072 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-26,2026 ,אפר׳ 2025,2024-12-26
Val Thorens,2025-04-27,2051 ,אפר׳ 2025,2024-12-26
Les Arcs Panorama,2025-01-05,3239 ,ינו׳ 2025,2024-12-26
Les Arcs Panorama,2025-01-12,3907 ,ינו׳ 2025,2024-12-26
Les Arcs Panorama,2025-01-19,3216 ,ינו׳ 2025,2024-12-26
