Resort Name,Date,Price (€),Month-Year,Scraped Date
La Plagne 2100,2025-01-05,2521 ,ינו׳ 2025,2024-12-29
La Plagne 2100,2025-01-12,2671 ,ינו׳ 2025,2024-12-29
La Plagne 2100,2025-01-19,3497 ,ינו׳ 2025,2024-12-29
La Plagne 2100,2025-01-26,3278 ,ינו׳ 2025,2024-12-29
La Plagne 2100,2025-02-02,2867 ,ינו׳ 2025,2024-12-29
La Plagne 2100,2025-02-09,2891 ,ינו׳ 2025,2024-12-29
La Plagne 2100,2025-02-23,3295 ,ינו׳ 2025,2024-12-29
La Plagne 2100,2025-02-02,2867 ,פבר׳ 2025,2024-12-29
La Plagne 2100,2025-02-09,2891 ,פבר׳ 2025,2024-12-29
La Plagne 2100,2025-02-23,3295 ,פבר׳ 2025,2024-12-29
La Plagne 2100,2025-03-02,4416 ,פבר׳ 2025,2024-12-29
La Plagne 2100,2025-03-09,2916 ,פבר׳ 2025,2024-12-29
La Plagne 2100,2025-03-16,2981 ,פבר׳ 2025,2024-12-29
La Plagne 2100,2025-03-23,2628 ,פבר׳ 2025,2024-12-29
La Plagne 2100,2025-03-30,2308 ,פבר׳ 2025,2024-12-29
La Plagne 2100,2025-03-02,4416 ,מרץ 2025,2024-12-29
La Plagne 2100,2025-03-09,2916 ,מרץ 2025,2024-12-29
La Plagne 2100,2025-03-16,2981 ,מרץ 2025,2024-12-29
La Plagne 2100,2025-03-23,2628 ,מרץ 2025,2024-12-29
La Plagne 2100,2025-03-30,2308 ,מרץ 2025,2024-12-29
La Plagne 2100,2025-04-06,2677 ,מרץ 2025,2024-12-29
La Plagne 2100,2025-04-07,2444 ,מרץ 2025,2024-12-29
La Plagne 2100,2025-04-08,2519 ,מרץ 2025,2024-12-29
La Plagne 2100,2025-04-09,2571 ,מרץ 2025,2024-12-29
La Plagne 2100,2025-04-10,2696 ,מרץ 2025,2024-12-29
La Plagne 2100,2025-04-11,2778 ,מרץ 2025,2024-12-29
La Plagne 2100,2025-04-12,2453 ,מרץ 2025,2024-12-29
La Plagne 2100,2025-04-13,2790 ,מרץ 2025,2024-12-29
La Plagne 2100,2025-04-06,2677 ,אפר׳ 2025,2024-12-29
La Plagne 2100,2025-04-07,2444 ,אפר׳ 2025,2024-12-29
La Plagne 2100,2025-04-08,2519 ,אפר׳ 2025,2024-12-29
La Plagne 2100,2025-04-09,2571 ,אפר׳ 2025,2024-12-29
La Plagne 2100,2025-04-10,2696 ,אפר׳ 2025,2024-12-29
La Plagne 2100,2025-04-11,2778 ,אפר׳ 2025,2024-12-29
La Plagne 2100,2025-04-12,2453 ,אפר׳ 2025,2024-12-29
La Plagne 2100,2025-04-13,2790 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-01-05,5132 ,ינו׳ 2025,2024-12-29
Val Thorens,2025-01-12,3354 ,ינו׳ 2025,2024-12-29
Val Thorens,2025-01-19,4072 ,ינו׳ 2025,2024-12-29
Val Thorens,2025-01-26,3442 ,ינו׳ 2025,2024-12-29
Val Thorens,2025-02-09,5599 ,ינו׳ 2025,2024-12-29
Val Thorens,2025-02-23,4404 ,ינו׳ 2025,2024-12-29
Val Thorens,2025-02-09,5599 ,פבר׳ 2025,2024-12-29
Val Thorens,2025-02-23,4404 ,פבר׳ 2025,2024-12-29
Val Thorens,2025-03-02,6096 ,פבר׳ 2025,2024-12-29
Val Thorens,2025-03-09,3484 ,פבר׳ 2025,2024-12-29
Val Thorens,2025-03-16,4431 ,פבר׳ 2025,2024-12-29
Val Thorens,2025-03-23,3166 ,פבר׳ 2025,2024-12-29
Val Thorens,2025-03-30,3792 ,פבר׳ 2025,2024-12-29
Val Thorens,2025-03-31,3870 ,פבר׳ 2025,2024-12-29
Val Thorens,2025-03-02,6096 ,מרץ 2025,2024-12-29
Val Thorens,2025-03-09,3484 ,מרץ 2025,2024-12-29
Val Thorens,2025-03-16,4431 ,מרץ 2025,2024-12-29
Val Thorens,2025-03-23,3166 ,מרץ 2025,2024-12-29
Val Thorens,2025-03-30,3792 ,מרץ 2025,2024-12-29
Val Thorens,2025-03-31,3870 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-01,3823 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-02,3814 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-03,3142 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-04,3028 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-05,2944 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-06,3109 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-07,2840 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-08,2910 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-09,2958 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-10,3079 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-11,4489 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-12,4140 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-13,4486 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-14,3909 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-15,2448 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-16,2335 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-17,2373 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-18,2977 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-19,2316 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-20,2228 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-21,2422 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-22,2246 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-23,2178 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-24,2159 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-25,2149 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-26,2101 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-27,2124 ,מרץ 2025,2024-12-29
Val Thorens,2025-04-01,3823 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-04-02,3814 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-04-03,3142 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-04-04,3028 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-04-05,2944 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-04-06,3109 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-04-07,2840 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-04-08,2910 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-04-09,2958 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-04-10,3079 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-04-11,4489 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-04-12,4140 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-04-13,4486 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-04-14,3909 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-04-15,2448 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-04-16,2335 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-04-17,2373 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-04-18,2977 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-04-19,2316 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-04-20,2228 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-04-21,2422 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-04-22,2246 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-04-23,2178 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-04-24,2159 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-04-25,2149 ,אפר׳ 2025,2024-12-29
Val Thorens,2025-04-26,2101 ,אפר׳ 2025,2024-12-29
