Resort Name,Date,Price (€),Month-Year,Scraped Date
La Plagne 2100,2025-01-05,5445 ,ינו׳ 2025,2025-01-01
La Plagne 2100,2025-01-06,3682 ,ינו׳ 2025,2025-01-01
La Plagne 2100,2025-01-07,3787 ,ינו׳ 2025,2025-01-01
La Plagne 2100,2025-01-08,3500 ,ינו׳ 2025,2025-01-01
La Plagne 2100,2025-01-09,3498 ,ינו׳ 2025,2025-01-01
La Plagne 2100,2025-01-10,3500 ,ינו׳ 2025,2025-01-01
La Plagne 2100,2025-01-11,3498 ,ינו׳ 2025,2025-01-01
La Plagne 2100,2025-01-12,3178 ,ינו׳ 2025,2025-01-01
La Plagne 2100,2025-01-19,3497 ,ינו׳ 2025,2025-01-01
La Plagne 2100,2025-01-26,3278 ,ינו׳ 2025,2025-01-01
La Plagne 2100,2025-02-02,2867 ,ינו׳ 2025,2025-01-01
La Plagne 2100,2025-02-09,2891 ,ינו׳ 2025,2025-01-01
La Plagne 2100,2025-02-23,3944 ,ינו׳ 2025,2025-01-01
La Plagne 2100,2025-02-02,2867 ,פבר׳ 2025,2025-01-01
La Plagne 2100,2025-02-09,2891 ,פבר׳ 2025,2025-01-01
La Plagne 2100,2025-02-23,3944 ,פבר׳ 2025,2025-01-01
La Plagne 2100,2025-03-02,4416 ,פבר׳ 2025,2025-01-01
La Plagne 2100,2025-03-09,2916 ,פבר׳ 2025,2025-01-01
La Plagne 2100,2025-03-16,2981 ,פבר׳ 2025,2025-01-01
La Plagne 2100,2025-03-23,2628 ,פבר׳ 2025,2025-01-01
La Plagne 2100,2025-03-30,2308 ,פבר׳ 2025,2025-01-01
La Plagne 2100,2025-03-02,4416 ,מרץ 2025,2025-01-01
La Plagne 2100,2025-03-09,2916 ,מרץ 2025,2025-01-01
La Plagne 2100,2025-03-16,2981 ,מרץ 2025,2025-01-01
La Plagne 2100,2025-03-23,2628 ,מרץ 2025,2025-01-01
La Plagne 2100,2025-03-30,2308 ,מרץ 2025,2025-01-01
La Plagne 2100,2025-04-06,2677 ,מרץ 2025,2025-01-01
La Plagne 2100,2025-04-07,2444 ,מרץ 2025,2025-01-01
La Plagne 2100,2025-04-08,2519 ,מרץ 2025,2025-01-01
La Plagne 2100,2025-04-09,2571 ,מרץ 2025,2025-01-01
La Plagne 2100,2025-04-10,2696 ,מרץ 2025,2025-01-01
La Plagne 2100,2025-04-11,2778 ,מרץ 2025,2025-01-01
La Plagne 2100,2025-04-12,2453 ,מרץ 2025,2025-01-01
La Plagne 2100,2025-04-13,2708 ,מרץ 2025,2025-01-01
La Plagne 2100,2025-04-06,2677 ,אפר׳ 2025,2025-01-01
La Plagne 2100,2025-04-07,2444 ,אפר׳ 2025,2025-01-01
La Plagne 2100,2025-04-08,2519 ,אפר׳ 2025,2025-01-01
La Plagne 2100,2025-04-09,2571 ,אפר׳ 2025,2025-01-01
La Plagne 2100,2025-04-10,2696 ,אפר׳ 2025,2025-01-01
La Plagne 2100,2025-04-11,2778 ,אפר׳ 2025,2025-01-01
La Plagne 2100,2025-04-12,2453 ,אפר׳ 2025,2025-01-01
